simulation_id,group_id,group_size,final_avg_trust,converted_count,conversion_rate,total_ticks
experiment_001,0,5038,0.4838346933283219,122,0.02421595871377531,14
experiment_001,1,4981,0.07549968417213918,3793,0.761493675968681,14
experiment_001,2,4939,0.47102072237186565,222,0.044948370115407976,14
experiment_001,3,5008,0.24562200660342562,2164,0.43210862619808305,14
experiment_001,4,5026,0.4863500893130006,118,0.02347791484281735,14
experiment_001,5,4925,0.4036202822661709,709,0.14395939086294415,14
experiment_001,6,4995,0.384521818466857,915,0.1831831831831832,14
experiment_001,7,5004,0.4489789862927488,381,0.07613908872901679,14
experiment_001,8,5011,0.43775292550499767,440,0.08780682498503292,14
experiment_001,9,5073,0.38756858620518636,892,0.17583284052828702,14
