simulation_id,tick,day,total_events,total_converted_npcs,avg_trust,total_interactions,total_ingroup_interactions,total_outgroup_interactions,total_new_conversions,ingroup_interaction_ratio,conversion_rate,trust_change_from_previous,events_strength_avg,events_reality_avg,total_disinformers
experiment_001,0,1,15,0,0.5932278622215613,35315,26610,8705,0,0.7535041766954552,0.0,0,0.646,0.3473333333333333,3630
experiment_001,1,2,15,0,0.5869323907065752,36100,27282,8818,0,0.7557340720221607,0.0,-0.006295471514986106,0.646,0.3473333333333333,3630
experiment_001,2,3,15,0,0.5804139842711452,36135,27309,8826,0,0.7557492735574928,0.0,-0.006518406435430002,0.646,0.3473333333333333,3630
experiment_001,3,4,15,0,0.5740424118667964,35449,26739,8710,0,0.7542949025360377,0.0,-0.006371572404348824,0.646,0.3473333333333333,3630
experiment_001,4,5,15,0,0.5674230710204612,35832,27042,8790,0,0.7546885465505693,0.0,-0.006619340846335198,0.646,0.3473333333333333,3630
experiment_001,5,6,15,0,0.5606786504440636,36144,27329,8815,5,0.7561144311642319,0.0,-0.0067444205763975695,0.646,0.3473333333333333,3630
experiment_001,6,7,15,5,0.5537729045136296,35818,27038,8780,6,0.7548718521413814,5e-05,-0.006905745930434026,0.646,0.3473333333333333,3630
experiment_001,7,8,15,11,0.5468725592517452,35796,27031,8765,13,0.755140239132864,0.00011,-0.006900345261884433,0.646,0.3473333333333333,3630
experiment_001,8,9,15,24,0.5397709580069225,35883,27117,8766,34,0.7557060446450966,0.00024,-0.0071016012448226196,0.646,0.3473333333333333,3630
experiment_001,9,10,15,58,0.5325357395318345,35350,26655,8695,49,0.754031117397454,0.00058,-0.007235218475088012,0.646,0.3473333333333333,3630
experiment_001,10,11,15,107,0.5248683657417954,35823,27040,8783,88,0.7548223208553164,0.00107,-0.0076673737900391226,0.646,0.3473333333333333,3643
experiment_001,11,12,15,195,0.5156571522206702,42729,32242,10487,213,0.7545694961267523,0.00195,-0.009211213521125194,0.646,0.3473333333333333,4413
experiment_001,12,13,15,408,0.4901437026152933,119024,90014,29010,1275,0.7562676435004705,0.00408,-0.025513449605376937,0.646,0.3473333333333333,11787
experiment_001,13,14,15,1683,0.38258775171874926,657507,496458,161049,8073,0.7550611628469355,0.01683,-0.10755595089654402,0.646,0.3473333333333333,66470
